,0
lm - type of stenosis,0.0
lada - type of stenosis,0.0
ladb - type of stenosis,4.859930791726889e-05
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,0.0
im - type of stenosis,0.0
lpl - type of stenosis,0.0
rcaa - type of stenosis,4.324385749878761e-06
rcab - type of stenosis,0.000838388009276307
rcac - type of stenosis,0.0
rpd - type of stenosis,0.00025604803385725645
rpl - type of stenosis,0.0
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.0007682929435201329
max high risk cta type,0.0
sis,-0.0003264611978494246
