,0
sex,0.0
age,0.0002922503553603505
bmi,-0.0
smoking,-0.0
diabetes,0.0
hypertension,-0.0
dyslipidemia,0.0
chestpain,-0.0
dyspnea,-7.644536584226745e-06
lm - type of stenosis,4.4164448654352066e-05
lada - type of stenosis,-0.0
ladb - type of stenosis,1.9391388756177157e-05
ladc - type of stenosis,-0.0
d1 - type of stenosis,0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,0.00012376824366197448
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,0.0
lpl - type of stenosis,0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0003535160967104658
rcac - type of stenosis,0.0
rpd - type of stenosis,4.475738815317714e-07
rpl - type of stenosis,0.0
str_seg_1,0.0
str_seg_4,0.0
str_seg_5,0.0
str_seg_6,0.0
str_seg_7,0.0
str_seg_8,0.0
str_seg_9,0.0
str_seg_10,0.0
str_seg_11,0.0
str_seg_12,-0.0
str_seg_13,-0.0
str_seg_14,0.0
str_seg_15,7.099040635062343e-05
str_seg_16,0.0
str_seg_17,0.0
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.0010087762445474741
max high risk cta type,0.0
sis,-0.0
max_str_seg,0.0
max_lad_str,0.0
max_lcx_str,0.0
max_rca_str,0.0007130189791680489
non-zero pet segs,0.0
