,0
lm - type of stenosis,-0.0
lada - type of stenosis,0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.00015820834012063534
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0004022440614171738
lom2 - type of stenosis,0.0
im - type of stenosis,-0.0
lpl - type of stenosis,-5.3136143917313106e-05
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0
rcac - type of stenosis,0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0018753337684954668
max high risk cta type,0.0
sis,-0.0028148908376189738
CTA PCA1,0.0007589543310682478
